Name,Compare,Pos,Age,Team,GP,Top Speed,22+ MPH,22+ MPH/G,20+ MPH,20+ MPH/G,18+ MPH,18+ MPH/G
JAMIE DRYSDALE,,D,24.2,PHI,70,23.29,3,0.04,120,1.71,468,6.69
ADRIAN KEMPE,,R,29.7,L.A,81,23.26,27,0.33,240,2.96,681,8.41
MACKENZIE WEEGAR,,D,32.4,UTA,81,23.25,2,0.02,60,0.74,436,5.38
ALEX NEWHOOK,,L,25.3,MTL,82,23.25,20,0.24,238,2.90,539,6.57
LOGAN O'CONNOR,,R,29.8,COL,80,23.25,15,0.19,159,1.99,523,6.54
MARCUS JOHANSSON,,L,35.7,MIN,72,23.22,10,0.14,190,2.64,573,7.96
TOM WILSON,,R,32.2,WSH,81,23.22,11,0.14,176,2.17,669,8.26
MATT ROY,,D,31.3,WSH,69,23.2,1,0.01,39,0.57,236,3.42
K'ANDRE MILLER,,D,26.4,CAR,74,23.2,1,0.01,72,0.97,297,4.01
BRANDON HAGEL,,L,27.8,T.B,82,23.2,18,0.22,173,2.11,558,6.80
LEON DRAISAITL,,C,30.6,EDM,71,23.2,14,0.20,188,2.65,679,9.56
JAKE EVANS,,C,30.0,MTL,82,23.19,6,0.07,164,2.00,585,7.13
NIKITA ZADOROV,,D,31.1,BOS,81,23.19,7,0.09,63,0.78,272,3.36
WARREN FOEGELE,,L,30.2,OTT,82,23.19,10,0.12,130,1.59,611,7.45
ALIAKSEI PROTAS,,L,25.4,WSH,76,23.18,8,0.11,150,1.97,468,6.16
ILYA MIKHEYEV,,L,31.6,CHI,80,23.18,17,0.21,181,2.26,496,6.20
VINNIE HINOSTROZA,,R,32.2,FLA,38,23.18,7,0.18,99,2.61,301,7.92
CLAYTON KELLER,,L,27.8,UTA,81,23.17,3,0.04,93,1.15,619,7.64
MIKE MATHESON,,D,32.3,MTL,80,23.17,8,0.10,107,1.34,364,4.55
LOGAN COOLEY,,C,22.1,UTA,75,23.16,15,0.20,199,2.65,562,7.49
ANTHONY DUCLAIR,,L,30.8,NYI,44,23.16,4,0.09,43,0.98,194,4.41
ZACH BOGOSIAN,,D,35.9,MIN,81,23.15,3,0.04,44,0.54,210,2.59
ANTHONY CIRELLI,,C,28.9,T.B,80,23.15,5,0.06,116,1.45,482,6.03
JORDAN STAAL,,C,37.7,CAR,75,23.15,4,0.05,76,1.01,530,7.07
FILIP CHYTIL,,C,26.7,VAN,56,23.15,10,0.18,174,3.11,630,11.25
JORDAN KYROU,,R,28.1,STL,82,23.14,9,0.11,150,1.83,595,7.26
CURTIS LAZAR,,R,31.3,EDM,48,23.14,2,0.04,59,1.23,277,5.77
ALEXANDER KERFOOT,,L,31.8,UTA,81,23.14,7,0.09,125,1.54,486,6.00
MATTHEW KNIES,,L,23.6,TOR,78,23.13,3,0.04,110,1.41,438,5.62
VALERI NICHUSHKIN,,R,31.3,COL,43,23.13,8,0.19,126,2.93,397,9.23
NICHOLAS ROBERTSON,,R,24.7,TOR,69,23.13,2,0.03,108,1.57,470,6.81
CARL GRUNDSTROM,,L,28.5,PHI,56,23.13,6,0.11,93,1.66,342,6.11
MACKIE SAMOSKEVICH,,L,23.6,SEA,72,23.12,14,0.19,159,2.21,453,6.29
NATHAN WALKER,,R,32.3,STL,73,23.12,3,0.04,70,0.96,348,4.77
VIKTOR ARVIDSSON,,R,33.2,BOS,67,23.11,7,0.10,115,1.72,436,6.51
DYLAN GUENTHER,,R,23.2,UTA,70,23.11,11,0.16,171,2.44,517,7.39
MACKLIN CELEBRINI,,C,20.0,S.J,70,23.1,6,0.09,162,2.31,755,10.79
MAX SASSON,,L,25.7,VAN,29,23.1,3,0.10,45,1.55,172,5.93
DREW O'CONNOR,,L,28.0,VAN,84,23.1,10,0.12,207,2.46,655,7.80
BRANDON TANEV,,R,34.4,UTA,79,23.1,10,0.13,156,1.97,492,6.23
KASPERI KAPANEN,,R,29.9,EDM,67,23.09,8,0.12,102,1.52,341,5.09
MASON APPLETON,,R,30.4,DET,71,23.09,7,0.10,96,1.35,389,5.48
ZACH WERENSKI,,D,28.9,CBJ,81,23.08,12,0.15,150,1.85,559,6.90
RYAN POEHLING,,C,27.4,ANA,68,23.08,24,0.35,166,2.44,468,6.88
ZACH HYMAN,,R,34.0,EDM,73,23.08,12,0.16,151,2.07,462,6.33
FRANK NAZAR,,C,22.4,CHI,53,23.07,16,0.30,130,2.45,403,7.60
JONATHAN DROUIN,,R,31.2,STL,43,23.07,3,0.07,56,1.30,255,5.93
CASEY MITTELSTADT,,L,27.5,BOS,81,23.07,5,0.06,87,1.07,571,7.05
CHARLIE COYLE,,C,34.3,CBJ,83,23.07,2,0.02,89,1.07,520,6.27
SAM STEEL,,L,28.3,DAL,79,23.07,4,0.05,105,1.33,518,6.56
SEAN KURALY,,C,33.4,BOS,82,23.06,3,0.04,122,1.49,472,5.76
BRANDON DUHAIME,,L,29.0,WSH,82,23.06,17,0.21,152,1.85,437,5.33
JOSH MORRISSEY,,D,31.2,WPG,80,23.06,1,0.01,48,0.60,356,4.45
EGOR CHINAKHOV,,L,25.3,PIT,30,23.06,14,0.47,93,3.10,281,9.37
BARRETT HAYTON,,C,26.0,UTA,82,23.04,5,0.06,150,1.83,689,8.40
MATHIEU JOSEPH,,R,29.3,L.A,60,23.04,5,0.08,74,1.23,324,5.40
LUKAS REICHEL,,L,24.0,BOS,70,23.04,6,0.09,192,2.74,598,8.54
MARK KASTELIC,,R,27.2,BOS,61,23.03,12,0.20,153,2.51,549,9.00
