,Overall,Even Strength,Power Play,Shorthanded,,,,,,,,,,,,,,,,,
NICHOLAS ROBERTSON,,R,24.7,TOR,69,136.32,9.88,2.9,1.08,124.4,9.89,2.43,1.01,11.39,9.74,0.51,0.36,0.53,9.15,0.31,0.31
JOEL ERIKSSON EK,,C,29.3,MIN,46,135.5,8.94,3.78,1.32,109.27,9.54,3.32,1.26,15.61,6.7,0.84,0.45,10.62,7.71,0.68,0.44
MICHAEL EYSSIMONT,,R,29.7,BOS,77,135.13,9.92,2.41,1.12,133.99,9.91,2.37,1.12,0.73,8.72,0.22,0.22,0,0,0.17,0.17
MATHEW DUMBA,,D,31.9,,63,135.04,8.41,3.04,1.2,127.52,8.41,2.7,1.16,5.31,9.24,0.44,0.39,2.21,6.91,0.41,0.27
OSKAR SUNDQVIST,,C,32.2,STL,67,134.89,9.15,2.41,0.97,116.49,9.4,2.23,0.95,10.42,7.73,0.52,0.39,7.98,7.9,0.32,0.21
JON MERRILL,,D,34.3,,70,134.55,8.18,2.8,1.29,127.54,8.27,2.8,1.29,0.22,9.46,0.15,0.15,6.79,6.74,0.59,0.32
ADAM GAUDETTE,,R,29.7,S.J,81,134.29,9.54,2.58,1.14,119.46,9.87,2.44,1.06,14.06,7.46,0.77,0.37,0.76,9.02,0.36,0.36
JAKE BEAN,,D,28.0,CGY,64,134.26,8.34,3.03,1.13,130.89,8.36,3.03,1.13,0.9,9.8,0.16,0.16,2.47,7.03,0.25,0.18
NICK BJUGSTAD,,R,33.9,N.J,66,134.1,9.9,2.62,1.02,127.88,10.04,2.62,1.02,5.71,7.64,0.48,0.31,0.51,8.28,0.24,0.13
TY DELLANDREA,,R,25.9,S.J,68,133.29,9.96,2.96,1.14,121.76,10.05,2.71,1.11,0.41,9.69,0.07,0.07,11.12,9.1,0.72,0.34
ALEX TURCOTTE,,C,25.3,L.A,68,133.19,10.01,2.94,1.11,124.82,10.11,2.87,1.11,8.29,8.76,0.59,0.39,0,0,0.04,0.04
PHILIP TOMASINO,,R,24.9,PHI,61,132.37,9.96,2.9,1.18,118.37,10.03,2.89,1.18,13.99,9.47,0.63,0.38,0.01,4.15,0.01,0.01
COLE KOEPKE,,R,28.0,WPG,73,132.34,9.67,2.39,1,123.87,9.73,2.39,1,0.55,8.29,0.21,0.21,7.92,8.96,0.41,0.3
JAMES VAN RIEMSDYK,,L,37.1,DET,71,132.29,9.02,2.63,1.06,125.96,9.2,2.58,1.06,6.33,6.45,0.35,0.33,0,0,0,0
TROY STECHER,,D,32.2,TOR,66,132.27,8.67,2.95,1.23,126.55,8.74,2.95,1.23,0.2,8.79,0.06,0.06,5.52,7.33,0.53,0.37
ANDREW COPP,,C,31.9,DET,56,132.14,9.63,3.08,1.13,121.53,9.85,2.99,1.09,3.13,7.27,0.35,0.25,7.48,7.87,0.38,0.27
TRENT FREDERIC,,R,28.3,EDM,58,132.1,9.96,2.94,1.25,120.88,10.05,2.89,1.25,7.65,9.33,0.8,0.41,3.57,8.49,0.32,0.21
KYLE MACLEAN,,L,27.1,NYI,81,131.69,9.79,2.55,0.94,127.55,9.81,2.39,0.94,0.58,11.22,0.15,0.15,3.56,9.01,0.34,0.28
GARNET HATHAWAY,,R,34.5,PHI,67,131.13,9.9,2.73,1.01,117.37,10.1,2.61,1.01,0.74,9.06,0.07,0.07,13.02,8.43,0.69,0.33
VICTOR OLOFSSON,,R,30.9,CGY,56,130.79,9.67,3.22,1.41,119.21,9.75,2.99,1.41,11.55,8.91,0.85,0.5,0.03,10.04,0.03,0.03
TOMAS TATAR,,L,35.5,,74,130.51,9.53,2.49,1,121.49,9.62,2.35,0.98,9.02,8.51,0.43,0.32,0,0.5,0,0
DEREK FORBORT,,D,34.2,VAN,54,130.44,8.47,3.09,1.17,115.43,8.66,2.87,1.16,0,0,0.11,0.09,14.39,7.16,0.63,0.42
BECK MALENSTYN,,R,28.3,BUF,76,130.26,9.77,2.46,1.03,113.86,9.93,2.25,0.98,0.43,10.4,0.11,0.11,15.97,8.72,0.64,0.4
RYAN GRAVES,,D,31.0,PIT,61,129.33,8.49,3.02,1.15,118.2,8.69,2.83,1.15,0.08,7.26,0.05,0.05,11.05,6.81,0.58,0.4
KASPERI KAPANEN,,R,29.9,EDM,67,128.5,9.65,2.81,1.15,119.26,9.74,2.75,1.15,2.96,9.6,0.56,0.42,6.28,8.31,0.38,0.27
LUKE GLENDENING,,L,37.1,PHI,77,128.47,9.28,2.42,0.98,109.09,9.46,2.14,0.93,0.23,6.32,0.05,0.03,19.15,8.45,0.54,0.41
BRETT LEASON,,R,27.1,WSH,62,128.36,9.57,2.89,1.08,109.01,9.83,2.66,1.01,4.73,8.38,0.52,0.28,14.62,8.3,0.55,0.32
A.J. GREER,,R,29.5,FLA,81,125.94,9.72,2.67,1.1,118.36,9.73,2.67,1.1,1.19,10.51,0.23,0.23,6.39,9.46,0.45,0.35
MITCHELL CHAFFEE,,R,28.4,T.B,66,125.63,9.49,2.76,1.19,117.06,9.78,2.6,1.19,8.51,6.73,0.84,0.38,0.07,7.98,0.07,0.03
JAN RUTTA,,D,35.8,,54,125.4,8.07,3.36,1.18,114.57,8.23,3.21,1.15,0,0,0.1,0.1,10.58,6.65,0.62,0.35
DREW HELLESON,,D,25.2,ANA,56,125.26,8.21,3.16,1.21,118.98,8.3,2.7,1.08,0,0,0.03,0.03,6.15,6.77,0.56,0.3
GAGE GONCALVES,,L,25.4,T.B,60,125.23,9.79,3.36,1.28,120.74,9.8,3.09,1.21,4.45,9.48,0.46,0.27,0.04,9.84,0.04,0.04
COLIN MILLER,,D,33.6,WPG,60,125.04,8.61,3.29,1.18,119.72,8.6,3.02,1.18,4.07,9.41,0.39,0.31,1.24,7.31,0.23,0.2
JAKE CHRISTIANSEN,,D,26.7,CBJ,68,124.86,8.79,3.09,1.25,121.24,8.85,3.09,1.25,0.25,9.7,0.1,0.1,3.37,6.95,0.3,0.23
MORGAN BARRON,,C,27.5,WPG,74,124.59,9.74,2.42,1.07,111.8,9.95,2.16,1.07,0.5,8.23,0.22,0.14,12.3,8.23,0.44,0.36
KEVIN HAYES,,C,34.1,PIT,64,124.03,9.65,3.11,1.19,104.69,9.96,2.76,1,16.24,8.25,1.03,0.44,3.1,8.38,0.39,0.36
JOSH MANSON,,D,34.7,COL,48,123.68,8.57,3.23,1.28,114.64,8.71,2.99,1.28,0.24,7.71,0.1,0.1,8.79,7.09,0.46,0.33
BLAKE LIZOTTE,,C,28.5,PIT,59,123.67,9.89,3.11,1.19,111.12,9.95,2.82,1.14,0.64,11.73,0.09,0.09,11.91,9.22,1.05,0.71
DENTON MATEYCHUK,,D,21.9,CBJ,45,123.43,9.13,3.49,1.41,112.91,9.18,3.3,1.33,5.54,10,0.43,0.38,4.98,7.42,0.38,0.33
MATIAS MACCELLI,,L,25.6,TOR,55,122.96,9.77,3.18,1.22,110.82,9.82,3.18,1.09,11.87,9.23,0.77,0.42,0,0,0.14,0.14
PHILIPP KURASHEV,,C,26.6,S.J,51,122.47,10.5,3.26,1.3,110.99,10.52,2.89,1.3,3.78,10.63,0.43,0.42,7.7,10.17,0.69,0.45
PIERRE ENGVALL,,L,30.0,NYI,62,122.34,10.02,2.7,1.05,121.49,10.02,2.7,1.05,0.62,9.75,0.18,0.18,0.23,10.6,0.08,0.05
TOMMY NOVAK,,C,29.1,PIT,54,122.32,10.27,2.99,1.29,110.54,10.32,2.89,1.16,11.69,9.84,0.77,0.56,0.08,7.82,0.03,0.03
DAVID KAMPF,,C,31.4,WSH,59,122.14,10.02,2.96,1.16,104.94,10.34,2.74,1.05,0.4,10.78,0.13,0.13,16.8,8.39,0.99,0.41
JOSHUA MAHURA,,D,28.1,SEA,64,121.58,8.29,2.64,1.09,117.38,8.38,2.49,1.07,0.32,7.97,0.15,0.15,3.88,6.15,0.31,0.31
MARK JANKOWSKI,,C,31.7,CAR,60,120.92,9.62,2.83,1.15,103.79,9.81,2.5,1.15,1.8,7.89,0.3,0.3,15.32,8.7,0.81,0.52
PATRICK MAROON,,R,38.1,,68,120.67,9.23,2.56,0.96,112.88,9.43,2.56,0.93,7.78,7.02,0.48,0.35,0.01,0.94,0.01,0
ZAC JONES,,D,25.6,BUF,46,119.45,9.03,3.31,1.28,108.2,8.99,3.31,1.22,10.83,9.49,0.94,0.47,0.42,8.39,0.09,0.09
ZACHARY L'HEUREUX,,L,23.1,NSH,62,119.41,9.6,2.77,1.13,110.6,9.69,2.72,1.04,3.38,8.23,0.45,0.27,5.43,8.76,0.38,0.33
JONATHAN DROUIN,,R,31.2,STL,43,119.3,9.16,3.72,1.43,102.72,9.5,3.69,1.43,16.47,7.49,0.78,0.42,0.11,7.79,0.1,0.1
DAKOTA JOSHUA,,L,30.1,TOR,57,119.29,9.69,2.75,1.03,110.7,9.79,2.74,1.02,4.23,8.22,0.52,0.29,4.36,8.83,0.36,0.36
TANNER JEANNOT,,L,29.0,BOS,67,118.87,9.66,2.62,1.03,118.19,9.67,2.56,1.03,0.56,8.26,0.12,0.09,0.11,7.89,0.08,0.08
JAYDEN STRUBLE,,D,24.7,MTL,56,118.82,8.51,3.03,1.16,115.75,8.58,2.98,1.16,0.29,11.67,0.07,0.07,2.77,6.24,0.39,0.2
TJ BRODIE,,D,36.0,,54,117.61,8.36,2.77,1.16,114.12,8.39,2.65,1.16,0.36,9.21,0.11,0.11,3.14,7.43,0.26,0.2
NIKOLAI KOVALENKO,,L,26.6,,57,117.59,10.03,2.92,1.29,109.75,10.07,2.7,1.29,7.79,9.55,0.71,0.48,0.05,9.35,0.03,0.03
KEVIN ROONEY,,C,33.0,UTA,70,117.36,10.68,2.26,0.95,96.18,11.07,1.98,0.82,1.05,10.94,0.15,0.14,20.12,9.15,0.89,0.44
TONY DEANGELO,,D,30.6,NYI,35,117.17,8.6,4.09,1.59,100.63,8.63,3.59,1.41,15.1,8.69,0.99,0.53,1.45,6.41,0.22,0.16
PATRIK LAINE,,R,28.1,MTL,52,117.08,9.44,3.18,1.11,97.7,9.94,2.63,1.05,19.36,7.55,0.83,0.62,0.01,4.76,0.01,0.01
COLIN BLACKWELL,,R,33.2,DAL,63,117.07,9.64,2.45,0.98,99.29,9.83,2.25,0.89,0.42,8.23,0.13,0.13,17.36,8.71,0.58,0.37
EMIL HEINEMAN,,R,24.5,NYI,62,117.04,9.94,2.61,1.06,108.26,10.11,2.37,0.95,8.73,8.28,0.5,0.4,0.05,8.32,0.02,0.02
JOSH DOAN,,R,24.3,BUF,51,117.03,10.18,3.16,1.24,107.39,10.47,3.03,1.24,9.16,7.66,0.7,0.38,0.47,11.73,0.12,0.12
JEFF PETRY,,D,38.5,MIN,44,116.31,8.39,3.48,1.24,109.19,8.5,3.21,1.2,1.41,8.57,0.22,0.19,5.71,6.78,0.46,0.21
MATHIEU JOSEPH,,R,29.3,L.A,60,115.34,9.69,2.57,1.12,106.68,9.78,2.34,0.99,0.56,9.02,0.13,0.13,8.1,8.67,0.37,0.25
URHO VAAKANAINEN,,D,27.4,NYR,51,114.87,8.23,2.88,1.31,109.61,8.31,2.84,1.26,0,0,0.16,0.16,4.86,6.56,0.65,0.34
MARK KASTELIC,,R,27.2,BOS,61,114.36,10.48,2.62,1.04,111.15,10.52,2.51,0.99,1.12,11.29,0.25,0.25,2.1,8.37,0.2,0.18
RYAN LOMBERG,,L,31.5,CGY,80,114.25,9.9,2.43,0.97,112.63,9.92,2.43,0.97,0.54,9.03,0.11,0.11,1.08,8.88,0.27,0.23
DANIIL MIROMANOV,,D,28.9,CGY,44,113.36,8.74,3.27,1.39,110.17,8.77,3.1,1.39,1.68,9.64,0.27,0.23,1.51,6.54,0.35,0.28
VINCENT DESHARNAIS,,D,30.0,S.J,51,113.2,8.37,3.19,1.24,104.29,8.51,3.1,1.16,0.16,7.07,0.04,0.04,8.76,6.96,0.44,0.31
CRAIG SMITH,,L,36.7,,59,111.44,9.99,2.53,1.02,104.22,10.02,2.53,0.98,6.98,9.59,0.58,0.49,0.24,9.41,0.13,0.13
JANSEN HARKINS,,C,29.0,ANA,62,111.27,9.85,2.32,0.99,96.58,10.02,2.15,0.99,0.33,9.87,0.05,0.05,14.36,8.85,0.58,0.42
MARC DEL GAIZO,,D,26.6,MTL,46,111.12,8.65,3.19,1.28,105.34,8.7,3.14,1.28,0.95,9.68,0.18,0.18,4.83,7.5,0.42,0.27
FEDOR SVECHKOV,,C,23.2,NSH,52,111.11,9.95,2.77,1.11,97.61,10.04,2.34,1.06,8.78,9.79,0.4,0.4,4.71,8.64,0.46,0.26
ROBBY FABBRI,,L,30.4,MIN,44,110.99,9.34,3.28,1.22,97.86,9.43,3.19,1.17,7.18,8.58,0.67,0.41,5.96,8.91,0.74,0.41
ALEC MARTINEZ,,D,38.9,,44,109.53,7.98,3.31,1.28,98.18,8.02,2.9,1.07,4.27,8.96,0.59,0.35,7.09,6.99,0.56,0.42
EMIL ANDRAE,,D,24.3,TOR,42,108.97,8.97,3.63,1.35,99.14,9.01,3.23,1.25,8.26,8.94,0.7,0.36,1.56,7.14,0.18,0.13
JORDAN EBERLE,,R,36.1,SEA,42,108.23,9.51,3.14,1.26,93.32,9.6,2.83,1.06,14.74,8.89,0.81,0.57,0,0,0.04,0.04
CONOR GEEKIE,,C,22.1,T.B,52,107.31,10.05,2.99,1.16,100.99,10.06,2.97,1.16,6.32,9.81,0.46,0.33,0,0.68,0,0
JUUSO VALIMAKI,,D,27.7,CAR,43,106.66,8.99,3.27,1.33,99.66,9.11,3.12,1.27,1.46,7.92,0.33,0.18,5.54,7.45,0.44,0.39
MICHAEL CARCONE,,R,30.0,UTA,53,105.33,10.43,3.1,1.09,98.72,10.45,2.82,0.99,6.59,10.1,0.68,0.46,0.03,6.92,0.01,0.01
NICO STURM,,C,31.1,MIN,62,104.65,9.73,2.76,1.09,93.82,9.91,2.63,1.06,0.53,11.15,0.11,0.11,10.3,8.26,0.49,0.29
RASMUS KUPARI,,L,26.2,WPG,59,103.15,10.23,2.9,1.12,94.2,10.43,2.86,1.12,0,3.51,0,0,8.95,8.44,0.4,0.39
DREW DOUGHTY,,D,36.5,L.A,30,102.92,8.53,4.61,1.69,86.06,8.59,4.02,1.37,11.06,8.58,0.82,0.46,5.8,7.63,0.6,0.39
NICK COUSINS,,L,32.9,OTT,50,102.86,10.37,2.88,1.21,102,10.38,2.87,1.21,0.75,8.5,0.2,0.16,0,0,0.09,0.09
ALEXANDER HOLTZ,,R,24.4,VGK,53,102.51,10.02,2.74,1.14,98.17,10.06,2.44,1.05,4.32,9.1,0.38,0.38,0,0,0.01,0.01
NATHAN BASTIAN,,R,28.5,DAL,59,102.48,9.53,2.57,1.06,95.01,9.58,2.23,0.95,1.25,8.06,0.19,0.19,6.21,9.12,0.42,0.22
ANTHONY DUCLAIR,,L,30.8,NYI,44,101.61,9.21,2.91,1.2,91.46,9.36,2.54,1.1,10.14,8.03,0.88,0.5,0.01,0,0.01,0.01
TYLER MOTTE,,C,31.2,,55,101.48,9.78,2.62,0.98,89.56,10.02,2.5,0.98,0.45,8.52,0.1,0.07,11.48,8.31,0.66,0.35
PIERRE-OLIVIER JOSEPH,,D,26.9,VAN,47,101.29,8.47,3.25,1.29,95.73,8.57,2.99,1.29,0.29,10.29,0.08,0.05,5.27,7.03,0.4,0.26
MATHEW BARZAL,,C,29.0,NYI,30,101.01,9.93,4.24,1.47,88.88,10.18,3.63,1.47,12.03,8.42,1.16,0.64,0.1,9.04,0.04,0.04
SAM LAFFERTY,,C,31.2,CHI,60,99.93,10.12,2.33,0.99,95.45,10.15,2.24,0.92,0,0,0.11,0.11,4.08,9.1,0.41,0.41
TREVOR LEWIS,,R,39.4,,60,99.77,9.76,2.35,1.1,94.45,9.83,2.24,1.1,0.38,9.14,0.08,0.07,4.93,8.68,0.36,0.26
JACOB BRYSON,,D,28.5,WPG,48,99.54,8.65,2.84,1.2,93.75,8.72,2.83,1.1,0.06,9.97,0.05,0.05,5.73,7.53,0.55,0.37
JONNY BRODZINSKI,,R,33.0,NYR,51,99.43,10.02,2.8,1.13,93.27,10.01,2.51,1.13,6,10.25,0.47,0.34,0.16,8.51,0.11,0.11
TYE KARTYE,,L,25.1,NYR,63,99.22,9.76,2.25,0.9,95.13,9.82,2.25,0.9,0.38,7.99,0.21,0.21,3.71,8.71,0.51,0.34
DAVID PERRON,,R,38.0,DET,43,99.2,9.87,3.02,1.16,86.01,10.02,2.83,1.16,13.1,8.99,0.87,0.47,0.09,8.82,0.07,0.07
JOHN MARINO,,D,29.0,UTA,35,97.6,7.9,3.53,1.23,88.95,8.08,3.53,1.22,1.43,7.77,0.34,0.34,7.22,6.28,0.49,0.39
CALVIN DE HAAN,,D,35.1,,47,96.96,8.27,2.9,1.17,91.96,8.38,2.57,1.17,0.12,0,0.12,0.12,4.89,6.5,0.34,0.33
NOAH GREGOR,,R,27.9,FLA,52,95.49,9.92,2.59,1,88.89,10.03,2.39,0.95,0.54,10.32,0.16,0.16,6.06,8.52,0.49,0.31
TOMAS NOSEK,,C,33.8,FLA,59,94.2,9.76,2.33,1.14,84.24,9.9,2.25,1.03,1.15,9.66,0.25,0.25,8.81,8.59,0.55,0.38
JORDAN OESTERLE,,D,33.9,NSH,37,92.36,8.73,3.21,1.23,88.48,8.75,3.01,1.18,1.55,10.11,0.33,0.2,2.33,7.61,0.4,0.29
JAKUB LAUKO,,L,26.2,,56,92.17,9.22,2.35,0.87,85.46,9.34,2.34,0.87,0.17,8.15,0.06,0.04,6.53,7.89,0.41,0.32
HAYDN FLEURY,,D,29.9,WPG,39,92.03,8.89,3.32,1.26,85.24,9.04,2.9,1.2,0.53,9.41,0.19,0.19,6.27,7.25,0.72,0.42
MIKAEL PYYHTIA,,R,24.5,CBJ,47,91.88,9.69,2.96,1.13,82.6,9.94,2.79,1.02,0.43,7.58,0.26,0.26,8.85,7.95,0.42,0.36
JAKOB PELLETIER,,L,25.2,T.B,49,91.68,9.71,2.96,1.34,85.59,9.8,2.51,1.12,1.12,9.86,0.34,0.22,4.96,8.35,0.38,0.38
JUSTIN DOWLING,,C,35.7,NYR,52,91.44,10.32,2.42,1.03,90.37,10.34,2.41,1.03,0.39,9.84,0.18,0.18,0.67,8.45,0.19,0.17
RYAN SHEA,,D,29.3,PIT,39,91.42,8.41,3.36,1.34,83.54,8.56,3.2,1.19,0.28,9.73,0.06,0.06,7.6,7.04,0.88,0.57
NOLAN ALLAN,,D,23.1,S.J,43,91.38,8.43,2.94,1.21,86.5,8.54,2.85,1.21,0.03,5.65,0.02,0.02,4.86,6.83,0.79,0.38
CARL GRUNDSTROM,,L,28.5,PHI,56,90.79,10.14,2.18,1.01,89.13,10.15,2.18,0.97,0.52,9.78,0.09,0.09,1.14,9.49,0.4,0.31
SEAN DURZI,,D,27.6,UTA,30,89.75,8.69,4.13,1.35,79.69,8.8,3.73,1.35,5.77,8.8,0.73,0.54,4.28,7.04,0.68,0.34
ZACK OSTAPCHUK,,C,23.0,S.J,56,88.92,10.11,2.63,1.18,85.07,10.2,2.4,1.14,0.59,9.71,0.12,0.12,3.26,8.34,0.73,0.31
CONNOR DEWAR,,L,26.9,PIT,48,88.25,9.54,2.82,1.05,77.13,9.69,2.37,0.95,0.19,9.9,0.07,0.07,10.93,8.65,0.56,0.36
NILS LUNDKVIST,,D,25.9,DAL,39,87.86,9.01,2.96,1.18,86.13,9,2.96,1.16,1.46,9.62,0.38,0.36,0.28,7.4,0.07,0.05
KAEDAN KORCZAK,,D,25.3,VGK,40,87.06,8.66,2.73,1.12,85.66,8.69,2.73,1.12,0.28,9.78,0.15,0.15,1.12,6.75,0.24,0.16
VINNIE HINOSTROZA,,R,32.2,FLA,38,86.84,10.53,3.03,1.26,79.38,10.59,2.67,1.13,7.46,9.93,0.94,0.64,0,6.77,0,0
JACOB MOVERARE,,D,27.8,L.A,49,84.49,8.72,2.83,1.44,83.31,8.75,2.76,1.44,0,0,0.07,0.07,1.09,6.83,0.22,0.22
CURTIS LAZAR,,R,31.3,EDM,48,84.47,9.99,2.33,0.87,77.6,10.18,2.33,0.84,0.91,10.11,0.17,0.17,5.95,8.06,0.43,0.3
COLLIN GRAF,,L,23.7,S.J,33,84.09,9.64,3.39,1.29,68.34,9.81,3.2,1.26,6.69,9.82,0.75,0.52,9.06,8.45,0.71,0.48
JUUSO PARSSINEN,,C,25.3,NYR,48,83.74,9.94,2.64,1.03,79.44,10.02,2.61,1.03,4.17,8.51,0.53,0.33,0.13,10.02,0.06,0.06
CHRISTIAN FISCHER,,R,29.1,,46,82.59,9.69,2.41,1.03,78.44,9.83,2.37,1.02,0.21,8,0.05,0.05,3.94,7.61,0.41,0.23
NOAH JUULSEN,,D,29.2,PHI,35,82.36,8.67,2.91,1.14,73.1,9,2.7,1.12,0.19,10.4,0.07,0.07,9.08,6.64,0.61,0.33
LIAN BICHSEL,,D,22.0,DAL,38,82.16,8.71,2.83,1.11,79.84,8.77,2.83,1.11,0.33,9.62,0.08,0.08,1.99,6.79,0.25,0.16
EGOR CHINAKHOV,,L,25.3,PIT,30,81.86,10.41,3.52,1.34,71.4,10.48,3.11,1.34,9.98,10.02,0.9,0.59,0.47,9.23,0.19,0.12
PHILIPPE MYERS,,D,29.4,TOR,36,81.72,8.39,2.9,1.2,77.5,8.5,2.9,1.19,0.05,10.28,0.05,0.05,4.17,6.72,0.31,0.2
WILLIAM CARRIER,,L,31.5,CAR,43,80.7,9.6,2.48,1.14,78.4,9.63,2.44,0.94,0.4,8.69,0.06,0.04,1.9,8.75,0.31,0.21
JORDAN GREENWAY,,L,29.3,BUF,34,80.51,9.43,3.04,1.13,68.65,9.77,2.62,1.05,0.36,8.51,0.18,0.18,11.5,7.8,0.77,0.51
SCOTT PERUNOVICH,,D,27.8,UTA,35,80.47,8.62,3.33,1.28,74.71,8.59,3.06,1.21,5.57,9.14,0.48,0.33,0.19,7.11,0.07,0.07
TYLER TUCKER,,D,26.3,STL,38,80.18,8.68,2.77,1.11,76.38,8.85,2.58,0.96,0.35,11.56,0.21,0.21,3.44,6,0.36,0.32
MAX PACIORETTY,,L,37.5,,37,79.58,9.56,3.08,1.21,73.64,9.66,2.87,1.08,5.94,8.49,0.59,0.36,0,0,0,0
NICK LEDDY,,D,35.2,S.J,31,79.38,8.23,3.4,1.26,76.73,8.28,3.26,1.26,0.4,9.24,0.15,0.15,2.25,6.61,0.53,0.36
JACOB BERNARD-DOCKER,,D,25.9,DET,40,78.77,8.68,2.93,1.2,78.08,8.68,2.81,1.08,0.26,7.08,0.1,0.1,0.43,9.26,0.14,0.09
ISAIAH GEORGE,,D,22.3,NYI,33,78.21,9.09,3.55,1.42,77.63,9.1,3.55,1.42,0.08,11.46,0.05,0.05,0.5,7.1,0.18,0.11
SHAKIR MUKHAMADULLIN,,D,24.4,S.J,30,78.18,8.65,3.47,1.33,71.55,8.83,3.15,1.22,2.89,8.52,0.39,0.2,3.74,6.37,0.48,0.31
ADAM EDSTROM,,C,25.6,NYR,51,77.93,9.89,2.19,0.96,77.07,9.86,2.19,0.88,0,0,0.39,0.24,0.07,7.7,0.07,0.07
DEVIN SHORE,,C,31.9,,55,76.92,9.7,2.02,0.91,75.71,9.74,2,0.91,0.04,6.15,0.03,0.03,1.17,7.58,0.3,0.21
JIMMY VESEY,,R,33.0,,43,74.79,9.8,2.83,1.22,73.15,9.82,2.74,1.22,0.07,9.25,0.03,0.03,1.57,8.85,0.39,0.16
DENNIS CHOLOWSKI,,D,28.3,N.J,39,74.72,8.79,3.31,1.29,67.4,8.78,2.89,1.21,7.2,8.98,0.69,0.44,0.12,8.3,0.12,0.06
HUDSON FASCHING,,R,30.9,CBJ,43,74.34,9.36,2.55,0.93,73.83,9.36,2.55,0.93,0.37,8.88,0.12,0.12,0.14,9.34,0.05,0.05
NIKOLAS MATINPALO,,D,27.7,OTT,41,74.29,8.62,2.31,1.01,74.12,8.62,2.31,1.01,0.03,10.56,0.02,0.02,0.14,6.98,0.03,0.03
MATTHEW HIGHMORE,,L,30.3,NYI,41,74.25,9.73,2.76,1.02,66.55,9.94,2.53,1.02,0,0,0.07,0.07,7.61,8.17,0.53,0.38
JACK JOHNSON,,D,39.4,,41,74.06,8.42,2.58,1.09,67.05,8.71,2.52,1.09,0.03,5.92,0.03,0.03,6.98,6.36,0.41,0.32
LOUIS CREVIER,,D,25.1,CHI,32,73.95,8.02,2.81,1.08,68.56,8.17,2.77,1.07,0.2,7.2,0.05,0.05,5.19,6.46,0.52,0.3
ADAM BOQVIST,,D,25.8,NYI,35,73.46,8.95,3.32,1.29,62.4,8.92,3.25,1.25,10.87,9.17,0.69,0.59,0.2,6.66,0.11,0.11
ERIK JOHNSON,,D,38.2,,36,73.02,8.34,3.09,1.15,65.84,8.52,2.66,0.99,0,0,0.02,0.02,7.15,6.99,0.43,0.29
OLIVER WAHLSTROM,,R,26.0,,43,72.17,9.85,2.57,1.07,65.79,9.88,2.24,0.92,6.35,9.54,0.78,0.46,0,0,0.03,0.03
BOONE JENNER,,C,33.0,CBJ,26,72.01,9.24,3.28,1.25,61.25,9.66,2.89,1.2,5.62,7.15,0.52,0.46,5.14,7.71,0.46,0.32
MATTHEW POITRAS,,C,22.2,BOS,33,71.67,9.96,2.72,1.05,66.6,10,2.63,1.05,4.99,9.4,0.5,0.48,0.08,9.59,0.03,0.03
JEREMY LAUZON,,D,29.1,VGK,28,71.15,8.48,2.98,1.12,62.3,8.72,2.75,1.12,0.22,8.17,0.08,0.08,8.64,7.08,0.82,0.63
MILES WOOD,,L,30.7,CBJ,37,70.45,10.06,2.51,1.01,66.95,10.15,2.36,0.98,0.39,10.24,0.16,0.16,3.11,8.47,0.31,0.31
SAMUEL HELENIUS,,C,23.5,L.A,50,70.12,9.72,2.44,1.04,70.01,9.72,2.44,1.04,0.11,9.58,0.07,0.07,0,0,0,0
TYSON JOST,,R,28.2,NSH,39,67.96,10.08,2.93,1.18,63.23,10.15,2.37,1.15,3.72,9.66,0.59,0.43,1.01,8.12,0.36,0.26
LANDON SLAGGERT,,R,23.9,CHI,33,67.95,10.04,2.81,1.13,63.66,10.04,2.71,1.08,0,0,0.13,0.13,4.08,9.66,0.47,0.27
VLADISLAV KOLYACHONOK,,D,25.0,DAL,35,67.83,8.93,3.04,1.08,66.49,8.98,2.98,1.06,0.04,7.5,0.04,0.03,1.29,7.12,0.35,0.29
JACK THOMPSON,,D,24.2,VAN,31,67.6,8.29,2.94,1.15,60.63,8.26,2.94,1.12,5.38,9.15,1.07,0.45,1.58,6.99,0.4,0.3
IVAN IVAN,,C,23.8,COL,40,67.01,10.01,2.88,1.04,61.03,10.14,2.48,1.01,5.9,8.87,0.63,0.56,0.08,10,0.06,0.06
KEATON MIDDLETON,,D,28.3,COL,41,66.14,8.43,2.36,1.01,62.63,8.52,2.22,0.89,0.01,7.21,0,0,3.5,7.06,0.44,0.27
VICTOR MANCINI,,D,24.0,VAN,31,66.1,8.36,2.68,1.03,64.96,8.39,2.66,1.03,0.49,8.48,0.28,0.17,0.65,6.25,0.14,0.14
COLE SCHWINDT,,C,25.1,FLA,42,64.59,9.97,2.06,0.91,63.01,10.02,2.06,0.91,0.05,8.16,0.03,0.03,1.54,8.23,0.21,0.15
ANDREAS ENGLUND,,D,30.4,NSH,35,63.74,8.24,2.59,1.07,61.36,8.27,2.51,1.07,0,0,0,0,2.38,7.55,0.37,0.29
JAKUB VRANA,,R,30.3,,39,63.73,9.47,2.22,0.94,59.55,9.49,2.22,0.93,4.12,9.25,0.56,0.34,0.06,7.2,0.06,0.06
SAM COLANGELO,,R,24.4,ANA,32,63.5,9.53,2.74,1.04,59.16,9.84,2.74,1.04,4.34,6.7,0.36,0.26,0,0,0,0
